Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt6208148,1,2025-04-05,"Schneewittchen","Snow White",https://www.imdb.com/title/tt6208148,Film,2.2,109,2025,"Musical, Familienfilm, Fantasy, Abenteuer, Liebesfilm",394128,"2025-03-20","Marc Webb"
tt5058700,10,2025-03-26,"Black Mirror: Black Museum","Black Mirror: Black Museum",https://www.imdb.com/title/tt5058700,Fernsehepisode,8.6,69,2017,"Drama, Thriller, Science-Fiction, Mystery, Krimi",58231,"2017-12-29","Colm McCarthy"
tt0327597,10,2025-03-26,"Coraline","Coraline",https://www.imdb.com/title/tt0327597,Film,7.8,100,2009,"Animation, Fantasy, Drama, Familienfilm",297802,"2009-08-13","Henry Selick"
tt30217222,6,2025-03-23,"Achtsam Morden","Achtsam Morden",https://www.imdb.com/title/tt30217222,Fernsehserie,7.4,30,2024,"Krimi, Thriller, Komödie, Mystery",11540,"2024-10-31",
tt12299608,8,2025-03-06,"Mickey 17","Mickey 17",https://www.imdb.com/title/tt12299608,Film,6.7,137,2025,"Science-Fiction, Abenteuer, Fantasy, Komödie",234797,"2025-03-06","Bong Joon Ho"
tt0113568,8,2025-02-22,"Ghost in the Shell","Kôkaku kidôtai",https://www.imdb.com/title/tt0113568,Film,7.9,83,1995,"Animation, Thriller, Mystery, Krimi, Drama, Science-Fiction, Action",171951,"1995-11-18","Mamoru Oshii"
tt15139516,9,2025-02-04,"Stoner Cats","Stoner Cats",https://www.imdb.com/title/tt15139516,Fernsehserie,6.5,5,2021,"Animation, Komödie",479,"2021-07-29",
tt0089881,8,2025-02-04,"Ran","Ran",https://www.imdb.com/title/tt0089881,Film,8.2,160,1985,"Action, Kriegsfilm, Drama",150637,"1986-04-10","Akira Kurosawa"
tt0290988,9,2025-02-04,"Trailer Park Boys","Trailer Park Boys",https://www.imdb.com/title/tt0290988,Fernsehserie,8.5,30,2001,"Krimi, Komödie",57039,"2007-01-15",
tt13833688,8,2025-02-04,"The Whale","The Whale",https://www.imdb.com/title/tt13833688,Film,7.6,117,2022,"Drama",278690,"2023-04-27","Darren Aronofsky"
tt0154420,10,2025-01-13,"Das Fest","Festen",https://www.imdb.com/title/tt0154420,Film,8.0,101,1998,"Drama",100267,"1999-01-07","Thomas Vinterberg"
tt8230614,8,2025-01-11,"Bushworld Adventures","Bushworld Adventures",https://www.imdb.com/title/tt8230614,Fernsehkurzfilm,7.8,11,2018,"Animation, Kurzfilm, Komödie",1768,"2018-04-01","Michael Cusack"
tt12074628,9,2025-01-11,"Smiling Friends","Smiling Friends",https://www.imdb.com/title/tt12074628,Fernsehserie,8.5,12,2020,"Animation, Kurzfilm, Komödie",28045,"2022-03-22",
tt14039582,9,2025-01-04,"Drive My Car","Doraibu mai kâ",https://www.imdb.com/title/tt14039582,Film,7.5,179,2021,"Drama",75785,"2021-12-23","Ryûsuke Hamaguchi"
tt27503384,10,2024-12-31,"Perfect Days","Perfect Days",https://www.imdb.com/title/tt27503384,Film,7.9,124,2023,"Drama",100906,"2023-12-21","Wim Wenders"
tt9581076,7,2024-12-31,"Bis dann, mein Sohn","Di jiu tian chang",https://www.imdb.com/title/tt9581076,Film,7.7,185,2019,"Drama",6032,"2019-11-14","Xiaoshuai Wang"
tt17526714,9,2024-12-26,"The Substance","The Substance",https://www.imdb.com/title/tt17526714,Film,7.2,141,2024,"Drama, Horror, Science-Fiction",406559,"2024-09-19","Coralie Fargeat"
tt29961072,8,2024-12-23,"Vertauschte Weihnachten","Un stupéfiant Noël !",https://www.imdb.com/title/tt29961072,Film,5.6,94,2023,"Komödie, Fantasy",602,"2023-12-08","Arthur Sanigou"
tt2089049,8,2024-12-05,"Black Mirror: Fifteen Million Merits","Black Mirror: Fifteen Million Merits",https://www.imdb.com/title/tt2089049,Fernsehepisode,8.0,62,2011,"Drama, Thriller, Science-Fiction, Mystery, Krimi",71660,"2016-10-21","Euros Lyn"
tt5709230,9,2024-12-05,"Black Mirror: Shut Up and Dance","Black Mirror: Shut Up and Dance",https://www.imdb.com/title/tt5709230,Fernsehepisode,8.4,52,2016,"Drama, Thriller, Science-Fiction, Mystery, Krimi",65837,"2016-10-21","James Watkins"
tt5709242,10,2024-12-05,"Black Mirror: Playtest","Black Mirror: Playtest",https://www.imdb.com/title/tt5709242,Fernsehepisode,8.0,57,2016,"Drama, Thriller, Science-Fiction, Mystery, Krimi",60975,"2016-10-21","Dan Trachtenberg"
tt10233448,10,2024-11-24,"Vinland Saga","Vinland Saga",https://www.imdb.com/title/tt10233448,Fernsehserie,8.8,24,2019,"Animation, Action, Abenteuer, Geschichte, Drama",129916,"2019-07-07",
tt2184339,2,2024-11-16,"The Purge - Die Säuberung","The Purge",https://www.imdb.com/title/tt2184339,Film,5.8,85,2013,"Thriller, Horror, Science-Fiction",258955,"2013-06-13","James DeMonaco"
tt1798709,2,2024-11-12,"Her","Her",https://www.imdb.com/title/tt1798709,Film,8.0,126,2013,"Liebesfilm, Science-Fiction, Drama",722816,"2014-03-27","Spike Jonze"
tt7160372,10,2024-11-01,"The Zone of Interest","The Zone of Interest",https://www.imdb.com/title/tt7160372,Film,7.3,105,2023,"Drama, Geschichte, Kriegsfilm",163688,"2024-02-29","Jonathan Glazer"
tt1392190,8,2024-10-27,"Mad Max: Fury Road","Mad Max: Fury Road",https://www.imdb.com/title/tt1392190,Film,8.1,120,2015,"Action, Abenteuer, Science-Fiction",1199134,"2015-05-14","George Miller"
tt30423279,8,2024-10-26,"The 8 Show","Deo Eiteu Syo",https://www.imdb.com/title/tt30423279,Fernsehserie,7.2,60,2024,"Drama, Mystery, Thriller, Komödie",20884,"2024-05-17",
tt0213338,10,2024-10-14,"Cowboy Bebop","Kaubôi Bibappu",https://www.imdb.com/title/tt0213338,Fernsehserie,8.9,24,1998,"Animation, Action, Drama, Komödie, Science-Fiction, Abenteuer",166967,"2003-01-08",
